name,description,category,badge,featured,stars,github_url,website,tags,readme_url
Xero,Interact with the accounting data in your business using our official MCP server,Finance,Official,true,163,https://github.com/XeroAPI/xero-mcp-server,,"finance,payment",https://github.com/XeroAPI/xero-mcp-server/blob/main/README.md
Search1API,Search crawling and sitemap API,Search,Official,true,160,https://github.com/fatwang2/search1api-mcp,,"api-design,search,semantic-search",https://github.com/fatwang2/search1api-mcp/blob/main/README.md
Meilisearch,Interact & query with Meilisearch (Full-text & semantic search API),Search,Official,true,158,https://github.com/meilisearch/meilisearch-mcp,,"api-design,search,semantic-search",https://github.com/meilisearch/meilisearch-mcp/blob/main/README.md
Storybook MCP,UI component story generation,Development,Official,true,153,https://github.com/storybookjs/addon-mcp,,"development,backend",https://github.com/storybookjs/addon-mcp/blob/main/README.md
Langfuse Prompt Management,Open-source tool for collaborative editing versioning evaluating and releasing prompts,Development,Official,true,151,https://github.com/langfuse/mcp-server-langfuse,,"development,backend",https://github.com/langfuse/mcp-server-langfuse/blob/main/README.md
Make,Turn your Make scenarios into callable tools for AI assistants,Automation,Official,true,147,https://github.com/integromat/make-mcp-server,,"api-integration,automation",https://github.com/integromat/make-mcp-server/blob/main/README.md
Intugle MCP,Generate automated semantic models using data engineering agents and built data products on demand,Data,Official,true,146,https://github.com/intugle/data-tools,,"agents,ai-ml,data",https://github.com/intugle/data-tools/blob/main/README.md
AgentQL,Enables agents to extract structured data from unstructured web content,Development,Official,true,138,https://github.com/tinyfish-io/agentql-mcp,,"agents,ai-ml",https://github.com/tinyfish-io/agentql-mcp/blob/main/README.md
StarRocks,Analytics database interaction,Database,Official,true,136,https://github.com/StarRocks/mcp-server-starrocks,,"database,schema-design,sql",https://github.com/StarRocks/mcp-server-starrocks/blob/main/README.md
Svelte MCP,Framework documentation and code suggestions,Development,Official,true,133,https://github.com/sveltejs/mcp,,"development,backend",https://github.com/sveltejs/mcp/blob/main/README.md
Logfire,Provides access to OpenTelemetry traces and metrics through Logfire,Monitoring,Official,true,129,https://github.com/pydantic/logfire-mcp,,"metrics,monitoring,observability",https://github.com/pydantic/logfire-mcp/blob/main/README.md
Plane,Official Plane MCP server provides integration with Plane APIs for AI automation,Productivity,Official,true,128,https://github.com/makeplane/plane-mcp-server,,"api-design,productivity,workflow",https://github.com/makeplane/plane-mcp-server/blob/main/README.md
AgentRPC,Connect functions across languages and network boundaries,Development,Official,true,124,https://github.com/agentrpc/agentrpc,,"development,backend",https://github.com/agentrpc/agentrpc/blob/main/README.md
Dart,Interact with task doc and project data in Dart AI project management tool,Development,Official,true,124,https://github.com/its-dart/dart-mcp-server,,"development,backend",https://github.com/its-dart/dart-mcp-server/blob/main/README.md
Zomato MCP,An mcp server for your food ordering needs,Food,Official,true,123,https://github.com/zomato/mcp-server-manifest,,api-integration,https://github.com/zomato/mcp-server-manifest/blob/main/README.md
BrowserStack,Bring the full power of BrowserStack's Test Platform to your AI tools,Productivity,Official,true,114,https://github.com/browserstack/mcp-server,,"productivity,web-scraping,workflow",https://github.com/browserstack/mcp-server/blob/main/README.md
Plugged.in,Comprehensive proxy combining multiple MCP servers into a single MCP with discovery tools,Integration,Official,true,113,https://github.com/VeriTeknik/pluggedin-mcp-proxy,,api-integration,https://github.com/VeriTeknik/pluggedin-mcp-proxy/blob/main/README.md
IBM wxflows,Tool platform for building testing and deploying tools for data sources,Cloud,Official,true,111,https://github.com/IBM/wxflows,,"cloud,devops",https://github.com/IBM/wxflows/blob/main/README.md
DINO-X,Advanced computer vision and object detection MCP server powered by Dino-X,Web Scraping,Official,true,108,https://github.com/IDEA-Research/DINO-X-MCP,,"content-extraction,web-scraping",https://github.com/IDEA-Research/DINO-X-MCP/blob/main/README.md
Chronulus AI,Predict anything with Chronulus AI forecasting and prediction agents,Development,Official,true,102,https://github.com/ChronulusAI/chronulus-mcp,,"agents,ai-ml",https://github.com/ChronulusAI/chronulus-mcp/blob/main/README.md
Vectorize,Advanced retrieval Deep Research and file extraction capabilities,Search,Official,true,102,https://github.com/vectorize-io/vectorize-mcp-server,,"search,semantic-search,vector-database",https://github.com/vectorize-io/vectorize-mcp-server/blob/main/README.md
Cycode,Boost security in your dev lifecycle via SAST SCA Secrets & IaC scanning,Development,Official,true,97,https://github.com/cycodehq/cycode-cli,,"development,backend",https://github.com/cycodehq/cycode-cli/blob/main/README.md
Taskade,Project and workflow management platform,Productivity,Official,true,95,https://github.com/taskade/mcp,,"productivity,workflow",https://github.com/taskade/mcp/blob/main/README.md
Webflow,Interact with Webflow APIs to list and edit your site and CMS data,Web,Official,true,93,https://github.com/webflow/mcp-server,,"api-design,web-scraping,content-extraction",https://github.com/webflow/mcp-server/blob/main/README.md
Octopus Deploy Official MCP Server,DevOps assistant for infrastructure inspection and diagnostics,DevOps,Official,true,92,https://github.com/octopusdeploy/mcp-server,,"automation,devops,infrastructure",https://github.com/octopusdeploy/mcp-server/blob/main/README.md
Needle,Production-ready RAG out of the box to search and retrieve data,Search,Official,true,90,https://github.com/needle-ai/needle-mcp,,"ai-ml,search,semantic-search",https://github.com/needle-ai/needle-mcp/blob/main/README.md
Square,Payment processing integration,Finance,Official,true,90,https://github.com/square/square-mcp-server,,"finance,payment",https://github.com/square/square-mcp-server/blob/main/README.md
Box,Interact with the Intelligent Content Management platform through Box AI,Development,Official,true,88,https://github.com/box-community/mcp-server-box,,"development,backend",https://github.com/box-community/mcp-server-box/blob/main/README.md
OceanBase,MCP Server for OceanBase database and its tools,Database,Official,true,87,https://github.com/oceanbase/mcp-oceanbase,,"database,schema-design,sql",https://github.com/oceanbase/mcp-oceanbase/blob/main/README.md
Octagon,Delivers investment research with market data,Finance,Official,true,86,https://github.com/OctagonAI/octagon-mcp-server,,"finance,payment,semantic-search",https://github.com/OctagonAI/octagon-mcp-server/blob/main/README.md
Keboola,Build robust data workflows integrations and analytics on a single intuitive platform,Data,Official,true,80,https://github.com/keboola/keboola-mcp-server,,"analytics,data",https://github.com/keboola/keboola-mcp-server/blob/main/README.md
SerpApi MCP,Search engine results aggregation,Search,Official,true,80,https://github.com/serpapi/serpapi-mcp,,"api-design,search,semantic-search",https://github.com/serpapi/serpapi-mcp/blob/main/README.md
DeepResearch,Lightning-Fast High-Accuracy Deep Research Agent,Development,Official,true,79,https://github.com/OctagonAI/octagon-deep-research-mcp,,"search,semantic-search",https://github.com/OctagonAI/octagon-deep-research-mcp/blob/main/README.md
Twilio,Send messages manage phone numbers configure accounts via Twilio APIs,Communication,Official,true,77,https://github.com/twilio-labs/mcp,,"api-design,communication,messaging",https://github.com/twilio-labs/mcp/blob/main/README.md
Bankless Onchain,"Query Onchain data, like ERC20 tokens, transaction history",Development,Official,true,76,https://github.com/bankless/onchain-mcp,,"development,backend",https://github.com/bankless/onchain-mcp/blob/main/README.md
Oxylabs,Scrape websites with Oxylabs Web API supporting dynamic rendering and parsing,Web Scraping,Official,true,76,https://github.com/oxylabs/oxylabs-mcp,,"api-design,content-extraction,web-scraping",https://github.com/oxylabs/oxylabs-mcp/blob/main/README.md
CircleCI,Enable AI Agents to fix build failures from CircleCI,Development,Official,true,75,https://github.com/CircleCI-Public/mcp-server-circleci,,"agents,ai-ml",https://github.com/CircleCI-Public/mcp-server-circleci/blob/main/README.md
Debugg AI,Enable your code gen agents to create & run 0-config end-to-end tests,Development,Official,true,75,https://github.com/debugg-ai/debugg-ai-mcp,,"agents,ai-ml",https://github.com/debugg-ai/debugg-ai-mcp/blob/main/README.md
Tinybird,Interact with Tinybird serverless ClickHouse platform,Database,Official,true,75,https://github.com/tinybirdco/mcp-tinybird,,"database,schema-design,sql",https://github.com/tinybirdco/mcp-tinybird/blob/main/README.md
Mureka,Generates lyrics songs and instrumental background music,AI/ML,Official,true,67,https://github.com/SkyworkAI/Mureka-mcp,,ai-ml,https://github.com/SkyworkAI/Mureka-mcp/blob/main/README.md
Anki MCP,Interaction with Anki spaced repetition flashcard application,Productivity,Official,true,62,https://github.com/anki-mcp/anki-mcp-desktop,,"productivity,workflow",https://github.com/anki-mcp/anki-mcp-desktop/blob/main/README.md
Narsil MCP,Blazingly fast best in class MCP server in Rust with neural engine,AI/ML,Official,true,62,https://github.com/postrv/narsil-mcp,,ai-ml,https://github.com/postrv/narsil-mcp/blob/main/README.md
Scrapeless,Real-time Google SERP results integration,Web Scraping,Official,true,61,https://github.com/scrapeless-ai/scrapeless-mcp-server,,"content-extraction,web-scraping",https://github.com/scrapeless-ai/scrapeless-mcp-server/blob/main/README.md
Rember,Create spaced repetition flashcards in Rember to remember chat learning,Learning,Official,true,59,https://github.com/rember/rember-mcp,,api-integration,https://github.com/rember/rember-mcp/blob/main/README.md
Axiom,Query and analyze your Axiom logs traces and all other event data,"Productivity,File System",Official,true,58,https://github.com/axiomhq/mcp-server-axiom,,"productivity,workflow",https://github.com/axiomhq/mcp-server-axiom/blob/main/README.md
OP.GG,Real-time gaming data across League of Legends TFT Valorant,Gaming,Official,true,54,https://github.com/opgginc/opgg-mcp,,api-integration,https://github.com/opgginc/opgg-mcp/blob/main/README.md
Mailtrap,Integrates with Mailtrap Email API,Email,Official,true,51,https://github.com/railsware/mailtrap-mcp,,"ai-ml,api-design,communication",https://github.com/railsware/mailtrap-mcp/blob/main/README.md
Twelve Data,Access real-time and historical financial market data for AI agents,Finance,Official,true,49,https://github.com/twelvedata/mcp,,"agents,finance,payment",https://github.com/twelvedata/mcp/blob/main/README.md
Last9,Bring real-time production context—logs metrics and traces—into your environment,Observability,Official,true,48,https://github.com/last9/last9-mcp-server,,"metrics,monitoring,observability",https://github.com/last9/last9-mcp-server/blob/main/README.md
gotoHuman,Human approval workflow platform for AI agents and automations,Automation,Official,true,47,https://github.com/gotohuman/gotohuman-mcp-server,,"agents,ai-ml",https://github.com/gotohuman/gotohuman-mcp-server/blob/main/README.md
Hostinger,Official Hostinger API server for services management,Hosting,Official,true,47,https://github.com/hostinger/api-mcp-server,,"api-design,api-integration",https://github.com/hostinger/api-mcp-server/blob/main/README.md
VeyraX,Control 100+ API integrations and UI components,Integration,Official,true,47,https://github.com/VeyraX/veyrax-mcp,,"api-design,api-integration",https://github.com/VeyraX/veyrax-mcp/blob/main/README.md
Gemini Cloud Assist,Manage and troubleshoot Google Cloud environment via natural language,Cloud,Official,true,46,https://github.com/googlecloudplatform/gemini-cloud-assist-mcp,,"cloud,devops",https://github.com/googlecloudplatform/gemini-cloud-assist-mcp/blob/main/README.md
Gitee,Gitee API integration for repository and pull request management,Development,Official,true,45,https://github.com/oschina/mcp-gitee,,"api-design,development,backend",https://github.com/oschina/mcp-gitee/blob/main/README.md
Metoro,Query and interact with Kubernetes environments,Kubernetes,Official,true,45,https://github.com/metoro-io/metoro-mcp-server,,"container,devops,kubernetes",https://github.com/metoro-io/metoro-mcp-server/blob/main/README.md
VideoDB,AI-driven video editing transcription and content moderation,AI/ML,Official,true,44,https://github.com/video-db/agent-toolkit,,ai-ml,https://github.com/video-db/agent-toolkit/blob/main/README.md
Buildkite,Manage Buildkite pipelines and builds,Development,Official,true,42,https://github.com/buildkite/buildkite-mcp-server,,"development,backend",https://github.com/buildkite/buildkite-mcp-server/blob/main/README.md
Trade Agent,Execute stock and crypto trades via Trade Agent,Finance,Official,true,41,https://github.com/Trade-Agent/trade-agent-mcp,,"finance,payment",https://github.com/Trade-Agent/trade-agent-mcp/blob/main/README.md
YepCode,Execute any LLM-generated code in the YepCode secure and scalable sandbox environment,Development,Official,true,41,https://github.com/yepcode/mcp-server-js,,"ai-ml,llm",https://github.com/yepcode/mcp-server-js/blob/main/README.md
Blueprint MCP,Browser automation via MCP for Chrome and Firefox,Development,Official,true,40,https://github.com/railsblueprint/blueprint-mcp,,"browser-automation,web-scraping",https://github.com/railsblueprint/blueprint-mcp/blob/main/README.md
delinea-mcp,Official Delinea MCP server for the Delinea Secret Server and Platform APIs,Development,Official,true,39,https://github.com/delineaxpm/delinea-mcp,,"api-design,development,backend",https://github.com/delineaxpm/delinea-mcp/blob/main/README.md
Mailgun,Interact with Mailgun API,Email,Official,true,39,https://github.com/mailgun/mailgun-mcp-server,,"ai-ml,api-design",https://github.com/mailgun/mailgun-mcp-server/blob/main/README.md
ZenML,Interact with your MLOps and LLMOps pipelines through your ZenML MCP server,AI/ML,Official,true,39,https://github.com/zenml-io/mcp-zenml,,"ai-ml,llm",https://github.com/zenml-io/mcp-zenml/blob/main/README.md
Unstructured,Unstructured data processing workflows in Unstructured Platform,Data,Official,true,38,https://github.com/Unstructured-IO/UNS-MCP,,"analytics,data",https://github.com/Unstructured-IO/UNS-MCP/blob/main/README.md
Globalping,Network access enabling ping traceroute mtr http and DNS resolve commands,Networking,Official,true,37,https://github.com/jsdelivr/globalping-mcp-server,,api-integration,https://github.com/jsdelivr/globalping-mcp-server/blob/main/README.md
WebScraping.AI,Interact with WebScraping.AI for web data extraction and scraping,Web Scraping,Official,true,36,https://github.com/webscraping-ai/webscraping-ai-mcp-server,,"api-design,content-extraction,web-scraping",https://github.com/webscraping-ai/webscraping-ai-mcp-server/blob/main/README.md
AlibabaCloud DevOps MCP,Yunxiao platform integration for AI assistants,Other,Official,true,35,https://github.com/aliyun/alibabacloud-devops-mcp-server,,api-integration,https://github.com/aliyun/alibabacloud-devops-mcp-server/blob/main/README.md
DexPaprika,Access real-time DEX analytics across 20+ blockchains with DexPaprika API,Productivity,Official,true,35,https://github.com/coinpaprika/dexpaprika-mcp,,"api-design,productivity,workflow",https://github.com/coinpaprika/dexpaprika-mcp/blob/main/README.md
Teradata,Tools for managing platform data quality and Teradata Database operations,Database,Official,true,35,https://github.com/Teradata/teradata-mcp-server,,"database,schema-design,sql",https://github.com/Teradata/teradata-mcp-server/blob/main/README.md
Integration App,Interact with SaaS applications on behalf of customers,Integration,Official,true,32,https://github.com/integration-app/mcp-server,,api-integration,https://github.com/integration-app/mcp-server/blob/main/README.md
ScreenshotOne,Website screenshot rendering,Utilities,Official,true,32,https://github.com/screenshotone/mcp,,api-integration,https://github.com/screenshotone/mcp/blob/main/README.md
Fireproof,Immutable ledger database with live synchronization,Database,Official,true,29,https://github.com/fireproof-storage/mcp-database-server,,"database,schema-design,sql",https://github.com/fireproof-storage/mcp-database-server/blob/main/README.md
Bitrix24 MCP-DEV,Provides AI assistants with structured access to the Bitrix24 API,Development,Official,true,28,https://github.com/bitrix24/b24restdocs/blob/main/sdk-mcp,,"api-design,development,backend",https://github.com/bitrix24/b24restdocs/blob/main/sdk-mcp/blob/main/README.md
